Valor real,Valor estimado,Error - Desviacion relativa,Error relativo,Error absoluto,Error minimo,Error maximo,Error cuadratico
2841,4991.315364079717,75.68867877788516,-323.1339859521856,343.8485224291549,0.003222530032296555,27674.618767919535,1716.9495757373072
4850,3886.9757735562102,19.856169617397725,,,,,
4850,2827.8441339987567,41.69393538146893,,,,,
2849,4991.315364079719,75.19534447454261,,,,,
865,3886.9757735562102,349.3613611047642,,,,,
2867,2827.8441339987567,1.3657434949858158,,,,,
880,2687.748793610507,205.42599927392126,,,,,
2897,3245.8024826188016,12.040127118356976,,,,,
2897,2687.748793610507,7.223030941991468,,,,,
4884,3245.8024826188016,33.54212771050775,,,,,
2876,3803.2309528625638,32.240297387432676,,,,,
2876,5069.03396713481,76.25291958048714,,,,,
2876,2760.564605051352,4.0137480858361645,,,,,
4901,3744.968665502122,23.58766240558821,,,,,
6902,3758.4425831695708,45.54560151884134,,,,,
4907,4991.315364079719,1.7182670487002054,,,,,
4907,6121.15899952411,24.74340736751804,,,,,
2906,3930.9068216136416,35.26864492820515,,,,,
4888,3768.8341954628536,22.89619076385324,,,,,
6882,2832.8889592083406,58.83625458866114,,,,,
4879,4940.230152455488,1.254973405523422,,,,,
4879,4940.230152455488,1.254973405523422,,,,,
2877,3828.136809582821,33.06002118814116,,,,,
2877,3796.7950468794597,31.9706307570198,,,,,
2877,2832.8889592083406,1.5332304759005713,,,,,
910,3796.7950468794597,317.2302249318088,,,,,
910,3796.7950468794597,317.2302249318088,,,,,
910,2687.748793610507,195.35701028686893,,,,,
910,2298.63783225134,152.59756398366375,,,,,
910,2298.63783225134,152.59756398366375,,,,,
910,2456.463729884982,169.9410692181299,,,,,
2917,2395.890365723798,17.86457436668502,,,,,
4916,2298.63783225134,53.241703981868596,,,,,
4916,3245.8024826188016,33.974725740056925,,,,,
4916,4991.315364079719,1.5320456484889966,,,,,
4916,4240.406085883932,13.74275659308519,,,,,
4916,3935.0010277086644,19.955227263859552,,,,,
6907,4240.406085883932,38.607121964906156,,,,,
8896,3935.0010277086644,55.766625138166994,,,,,
8896,6121.15899952411,31.19200764923437,,,,,
8896,7615.973476846858,14.388787355588379,,,,,
8896,7618.192385354018,14.363844589096017,,,,,
8896,7452.734512294063,16.223757730507383,,,,,
8896,7618.192385354018,14.363844589096017,,,,,
8896,7452.734512294063,16.223757730507383,,,,,
6911,7501.294846545671,8.54138108154639,,,,,
4934,7452.734512294063,51.04853085314275,,,,,
4934,6040.604719564877,22.42814591740732,,,,,
4934,3828.136809582821,22.413116952111448,,,,,
4934,3796.7950468794597,23.048337112293073,,,,,
4934,3768.8341954628536,23.615034546760164,,,,,
2948,3796.7950468794597,28.792233611921976,,,,,
2948,3935.0010277086644,33.48036050572132,,,,,
952,2998.649197624029,214.98415941428877,,,,,
952,3803.2309528625638,299.4990496704374,,,,,
952,2687.748793610507,182.32655395068355,,,,,
952,2298.63783225134,141.45355380791386,,,,,
952,2298.63783225134,141.45355380791386,,,,,
2947,2256.2036286230464,23.440664111874913,,,,,
2947,2298.63783225134,22.000752214070577,,,,,
2947,3332.9542521503445,13.096513476428385,,,,,
955,3857.6074206860735,303.93794981006005,,,,,
2951,3875.1556625709327,31.316694766890297,,,,,
960,2999.2798625511587,212.42498568241234,,,,,
960,3252.8991478213393,238.84366123138952,,,,,
2951,2999.2798625511587,1.636050916677691,,,,,
960,2361.3848868038554,145.9775923754016,,,,,
960,3252.8991478213393,238.84366123138952,,,,,
960,2999.2798625511587,212.42498568241234,,,,,
960,2361.3848868038554,145.9775923754016,,,,,
960,2367.106922585098,146.57363776928102,,,,,
960,2256.2036286230464,135.02121131490065,,,,,
2933,2298.63783225134,21.628440768791677,,,,,
942,2298.63783225134,144.01675501606584,,,,,
942,3245.8024826188016,244.5650193862847,,,,,
942,2687.748793610507,185.3236511263808,,,,,
942,2298.63783225134,144.01675501606584,,,,,
942,2298.63783225134,144.01675501606584,,,,,
942,2256.2036286230464,139.51206248652298,,,,,
942,2298.63783225134,144.01675501606584,,,,,
942,2298.63783225134,144.01675501606584,,,,,
942,2364.1012322598535,150.96616053713944,,,,,
2922,2364.1012322598535,19.093044754967366,,,,,
898,2361.3848868038554,162.96045510065204,,,,,
898,3252.8991478213393,262.238212452265,,,,,
898,2999.2798625511587,233.99553035090852,,,,,
898,2367.106922585098,163.59765284912,,,,,
898,2256.2036286230464,151.247620113925,,,,,
898,2456.463729884982,173.54829954175747,,,,,
2895,2298.63783225134,20.599729455912257,,,,,
2895,2456.463729884982,15.148057689637925,,,,,
2895,3330.9184215969017,15.05763114324358,,,,,
2895,3796.7950468794597,31.150087975110875,,,,,
2895,3803.2309528625638,31.372399062610146,,,,,
2895,3758.4425831695708,29.82530511811989,,,,,
4895,3803.2309528625638,22.30375990066264,,,,,
2867,3758.4425831695708,31.09321880605409,,,,,
2867,4940.230152455488,72.31357350734174,,,,,
873,2832.8889592083406,224.5004535175648,,,,,
2873,3796.7950468794597,32.15436988790323,,,,,
2873,2832.8889592083406,1.3961378625708123,,,,,
2873,3330.9184215969017,15.938685053842732,,,,,
2873,3796.7950468794597,32.15436988790323,,,,,
2873,3803.2309528625638,32.378383322748476,,,,,
890,3758.4425831695708,322.2969194572551,,,,,
2884,3796.7950468794597,31.65031369207558,,,,,
912,2687.748793610507,194.70929754501176,,,,,
912,3245.8024826188016,255.8993950239914,,,,,
912,2687.748793610507,194.70929754501176,,,,,
912,2298.63783225134,152.04362195738378,,,,,
912,2298.63783225134,152.04362195738378,,,,,
912,2456.463729884982,169.34909318914276,,,,,
2917,2298.63783225134,21.198565915278024,,,,,
916,2456.463729884982,168.17289627565307,,,,,
916,3330.9184215969017,263.63738227040415,,,,,
2907,2832.8889592083406,2.54939940803782,,,,,
935,2395.890365723798,156.24495890094096,,,,,
935,3245.8024826188016,247.1446505474654,,,,,
935,2687.748793610507,187.45976402251415,,,,,
935,2298.63783225134,145.8436184226032,,,,,
2919,2298.63783225134,21.252557990704346,,,,,
2919,2298.63783225134,21.252557990704346,,,,,
2919,3332.9542521503445,14.181372118888127,,,,,
940,3857.6074206860735,310.38376815809295,,,,,
940,3810.205818582872,305.34104453009274,,,,,
940,2760.564605051352,193.67708564376085,,,,,
940,2364.1012322598535,151.50013109147378,,,,,
940,2364.1012322598535,151.50013109147378,,,,,
2924,2367.106922585098,19.04559088286259,,,,,
2924,2364.1012322598535,19.14838466963565,,,,,
929,3252.8991478213393,250.15060794632285,,,,,
929,3875.1556625709327,317.13193353831355,,,,,
929,2999.2798625511587,222.85036195383842,,,,,
2927,2367.106922585098,19.12856431209095,,,,,
2927,2256.2036286230464,22.91753916559459,,,,,
2927,3245.8024826188016,10.891782802145597,,,,,
2927,3803.2309528625638,29.93614461436842,,,,,
2927,3744.968665502122,27.94563257608889,,,,,
2927,3803.2309528625638,29.93614461436842,,,,,
2927,3857.6074206860735,31.793898896005246,,,,,
2927,3875.1556625709327,32.39342885449035,,,,,
