@relation dTreeCont

@attribute x real
@attribute y real
@attribute r {0, 300}

@data
6425,2409,0
6927,2409,0
6927,2914,0
6927,2914,0
6927,3418,0
6927,2917,0
6429,2917,0
5939,2917,0
6436,2917,0
6436,2917,0
6941,2917,0
7440,2917,0
7440,2917,0
7440,2414,0
7440,2914,0
7440,3415,0
6951,3415,0
6456,3415,0
6456,3911,0
5959,3911,300
6450,3911,0
6450,3911,0
6450,4411,300
6450,4919,0
6450,4418,300
6946,4418,0
6446,4418,300
6446,3917,0
6950,3917,0
6950,4423,0
6459,4423,300
6948,4423,0
7433,4423,0
7433,4423,0
7433,4916,0
6952,4916,300
6952,4427,0
6464,4427,300
6963,4427,0
6483,4427,300
6483,4427,300
5988,4427,0
5988,4427,0
5988,4918,0
5988,4432,0
5491,4432,0
5491,4432,0
5993,4432,0
5993,3935,300
5993,4433,0
5487,4433,0
5487,4932,0
5487,4932,0
5487,4436,0
4984,4436,0
4984,4921,0
5473,4921,0
5473,4413,0
5969,4413,0
5969,3911,300
5969,4413,0
6467,4413,300
6467,3908,0
6467,3412,0
6467,3899,0
6966,3899,0
6966,3899,0
6966,4392,0
7466,4392,0
7466,4392,0
7466,4392,0
7963,4392,0
7963,4392,0
7963,3898,0
7963,3397,0
7963,2891,0
8464,2891,0
8464,3380,0
8464,2881,0
8464,2881,0
7974,2881,0
8475,2881,0
8967,2881,0
8967,2881,0
8967,3382,0
8967,3382,0
9465,3382,0
9465,3885,0
9465,3885,0
9465,4370,0
9465,4370,0
9465,4370,0
9465,4861,0
9465,5359,0
9962,5359,0
9471,5359,0
9958,5359,0
9958,5359,0
9958,4867,0
9468,4867,0
9468,5361,0
8967,5361,0
8967,4869,0
8967,5362,0
8967,5362,0
8967,5362,0
8967,4852,0
8967,5349,0
8967,5349,0
8967,4852,0
9454,4852,0
9962,4852,0
9474,4852,0
9474,4852,0
9474,5361,0
9474,4860,0
9474,5353,0
9474,5863,0
9474,5360,0
9474,4865,0
9474,4865,0
9474,4373,0
9474,4874,0
9963,4874,0
9963,4365,0
9963,4365,0
9468,4365,0
8975,4365,0
8975,4365,0
8975,4848,0
8975,4351,0
8975,3851,0
9465,3851,0
9465,4348,0
9465,3871,0
9465,3871,0
8955,3871,0
8955,3366,0
8955,3366,0
8955,2875,0
8955,3370,0
8955,2877,0
9456,2877,0
8950,2877,0
8950,3374,0
8950,2875,0
9457,2875,0
9457,2875,0
9954,2875,0
9470,2875,0
8972,2875,0
9463,2875,0
9463,2875,0
9948,2875,0
9948,3380,0
9948,3380,0
9446,3380,0
9446,3889,0
9446,3395,0
9446,2890,0
9947,2890,0
9947,2398,0
9947,2883,0
9947,2883,0
9947,3383,0
9947,2884,0
9947,2385,0
9947,2876,0
9947,3377,0
9447,3377,0
9447,3377,0
9938,3377,0
9938,3860,0
9938,3860,0
9938,3364,0
9938,3872,0
9445,3872,0
9445,4370,0
9445,4870,0
8942,4870,0
8942,4373,0
9442,4373,0
9442,3873,0
9442,4360,0
9951,4360,0
9951,3871,0
9951,3871,0
9448,3871,0
9448,4362,0
9448,4855,0
9448,4855,0
8945,4855,0
8945,4855,0
8945,4362,0
9443,4362,0
9443,4859,0
9443,4859,0
9950,4859,0
9950,5353,0
9457,5353,0
9457,5843,0
9457,6332,0
8963,6332,0
8963,5824,0
8963,5824,0
8963,5824,0
8963,6332,0
8963,6332,0
8963,6853,0
9456,6853,0
9456,6366,0
9456,6366,0
9456,5872,0
8958,5872,0
8958,5872,0
8958,5872,0
8958,5872,0
9451,5872,0
9451,5872,0
9451,5359,0
8965,5359,0
8965,5359,0
9472,5359,0
8977,5359,0
8483,5359,0
8483,4869,0
7990,4869,0
8476,4869,0
8476,5368,0
7994,5368,0
8493,5368,0
7996,5368,0
7499,5368,300
6996,5368,0
6996,4870,300
7492,4870,0
7492,4870,0
7984,4870,0
7984,4372,0
8486,4372,0
8990,4372,0
8990,4870,0
8990,4356,0
8990,4356,0
8990,4356,0
8990,4863,0
8990,4863,0
8990,4363,0
9480,4363,0
8981,4363,0
8477,4363,0
8477,4363,0
8978,4363,0
8978,4363,0
8978,4363,0
8483,4363,0
8483,4865,0
8982,4865,0
9471,4865,0
9471,4865,0
9471,4865,0
9471,4865,0
9471,4372,0
9971,4372,0
9971,4372,0
9467,4372,0
9467,4372,0
9467,4372,0
9964,4372,0
9964,4372,0
9964,4857,0
9964,4367,0
9964,3872,0
9964,4368,0
9964,4368,0
9463,4368,0
9962,4368,0
9962,4866,0
9962,4866,0
9468,4866,0
8978,4866,0
8978,4368,0
9460,4368,0
