@relation dTree

@attribute x {S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19}
@attribute y {S0, S1, S2, S3, S4, S5, S6, S7, S8, S9, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19}
@attribute r {0, -300, 300}

@data
S3,S15,0
S2,S15,0
S2,S16,0
S2,S17,0
S3,S17,0
S3,S16,0
S4,S16,0
S3,S16,0
S4,S16,0
S4,S17,0
S5,S17,0
S5,S17,0
S5,S17,0
S6,S17,0
S5,S17,0
S4,S17,0
S4,S18,0
S4,S18,0
S4,S17,0
S4,S18,0
S4,S19,-300
S5,S19,-300
S5,S19,-300
S5,S18,0
S5,S18,0
S5,S17,0
S5,S18,0
S4,S18,0
S5,S18,0
S6,S18,0
S6,S19,-300
S6,S19,-300
S7,S19,-300
S7,S19,-300
S7,S18,0
S8,S18,0
S9,S18,0
S9,S18,0
S9,S19,-300
S10,S19,-300
S11,S19,-300
S11,S19,-300
S12,S19,-300
S13,S19,-300
S12,S19,-300
S12,S19,-300
S12,S19,-300
S13,S19,-300
S13,S19,-300
S13,S18,0
S13,S19,-300
S12,S19,-300
S12,S18,0
S12,S18,0
S12,S19,-300
S12,S18,0
S13,S18,0
S12,S18,0
S12,S18,0
S13,S18,0
S13,S17,0
S13,S16,0
S13,S17,0
S12,S17,0
S13,S17,0
S12,S17,0
S11,S17,0
S12,S17,0
S12,S16,0
S12,S16,0
S12,S17,0
S12,S18,0
S13,S18,0
S13,S18,0
S13,S17,0
S13,S18,0
S13,S17,0
S13,S17,0
S13,S16,0
S14,S16,0
S14,S17,0
S15,S17,0
S15,S18,0
S15,S18,0
S15,S18,0
S15,S18,0
S16,S18,0
S16,S19,-300
S16,S19,-300
S17,S19,-300
S17,S19,-300
S17,S19,-300
S18,S19,-300
S18,S19,-300
S18,S19,-300
S18,S19,-300
S18,S19,-300
S19,S19,-300
S19,S19,-300
S19,S19,-300
S19,S18,-300
S19,S17,-300
S18,S17,300
S17,S17,0
S17,S16,300
S17,S16,300
S17,S15,300
S18,S15,0
S19,S15,-300
S19,S16,-300
S19,S17,-300
S19,S18,-300
S18,S18,300
S17,S18,0
S17,S19,-300
S16,S19,-300
S16,S18,0
S17,S18,0
S16,S18,0
S15,S18,0
S14,S18,0
S15,S18,0
S16,S18,0
S15,S18,0
S15,S19,-300
S16,S19,-300
S17,S19,-300
S17,S19,-300
S17,S18,0
S18,S18,300
S18,S19,-300
S19,S19,-300
S19,S19,-300
S19,S19,-300
S19,S18,-300
S19,S17,-300
S19,S17,-300
S19,S17,-300
S18,S17,300
S19,S17,-300
S18,S17,300
S18,S17,300
S18,S16,0
S18,S17,300
S18,S17,300
S18,S16,0
S17,S16,300
S18,S16,0
S18,S17,300
S18,S16,0
S18,S15,0
S18,S15,0
S18,S14,0
S18,S15,0
S18,S16,0
S17,S16,300
S17,S17,0
S16,S17,0
S16,S16,0
S17,S16,300
S17,S17,0
S17,S17,0
S18,S17,300
S18,S17,300
S18,S16,0
S17,S16,300
S17,S17,0
S18,S17,300
S18,S18,300
S17,S18,0
S16,S18,0
S17,S18,0
S18,S18,300
S19,S18,-300
S18,S18,300
S18,S18,300
S17,S18,0
S17,S19,-300
S17,S18,0
S17,S17,0
S17,S17,0
S16,S17,0
S16,S18,0
S16,S18,0
S16,S18,0
S16,S19,-300
S16,S19,-300
S16,S19,-300
S15,S19,-300
S14,S19,-300
S14,S18,0
S14,S17,0
S14,S17,0
S15,S17,0
S15,S16,0
S15,S16,0
S14,S16,0
S14,S16,0
S14,S17,0
S14,S16,0
S14,S17,0
S15,S17,0
S15,S16,0
S16,S16,0
S16,S17,0
S16,S16,0
S16,S16,0
S17,S16,300
S18,S16,0
S19,S16,-300
S18,S16,0
S17,S16,300
S18,S16,0
S19,S16,-300
S19,S16,-300
S19,S17,-300
S19,S16,-300
S19,S16,-300
S18,S16,0
S19,S16,-300
S19,S15,-300
S19,S16,-300
S19,S16,-300
S19,S17,-300
S19,S17,-300
S19,S18,-300
S19,S17,-300
S19,S16,-300
S19,S17,-300
S19,S16,-300
S19,S17,-300
S19,S17,-300
S19,S17,-300
S19,S18,-300
S19,S17,-300
S19,S18,-300
S18,S18,300
S18,S17,300
S18,S18,300
S17,S18,0
S16,S18,0
S17,S18,0
S17,S18,0
S17,S19,-300
S16,S19,-300
S16,S18,0
S17,S18,0
S16,S18,0
S16,S17,0
S17,S17,0
S17,S18,0
S17,S17,0
S17,S18,0
S17,S19,-300
S18,S19,-300
S19,S19,-300
S19,S19,-300
S19,S18,-300
S19,S18,-300
S18,S18,300
S17,S18,0
S17,S18,0
S17,S17,0
S17,S16,300
S16,S16,0
S15,S16,0
S15,S15,0
S15,S14,0
S15,S13,0
S16,S13,300
S16,S13,300
S16,S13,300
S15,S13,0
S14,S13,0
