x	y	a	r
4481	1953	1	0
3981	1953	1	0
3484	1953	0	0
3980	1953	4	0
3980	1953	2	0
3980	2443	0	0
4480	2443	2	0
4480	2933	2	0
4480	3441	3	0
4480	2948	0	0
4973	2948	1	0
4480	2948	4	0
4480	2948	2	0
4480	3445	2	0
4480	3933	1	0
3985	3933	0	0
4485	3933	4	0
4485	3933	2	0
4485	4433	4	0
4485	4433	2	0
4485	4931	0	0
4980	4931	3	0
4980	4436	4	0
4980	4436	2	0
4980	4928	0	0
5473	4928	4	0
5473	4928	3	0
5473	4432	0	0
5985	4432	4	0
5985	4432	3	0
5985	3941	3	0
5985	3442	2	0
5985	3939	2	0
5985	4447	3	0
5985	3950	0	0
6487	3950	4	0
6487	3950	3	0
6487	3463	3	0
6487	2968	1	0
5984	2968	3	0
5984	2459	1	0
5492	2459	2	0
5492	2965	1	0
4997	2965	0	0
5490	2965	3	0
5490	2478	1	0
4986	2478	3	0
4986	1970	0	0
5486	1970	2	0
5486	2467	2	0
5486	2964	4	0
5486	2964	0	0
5968	2964	4	0
5968	2964	3	0
5968	2470	0	0
6467	2470	0	0
6958	2470	1	0
6458	2470	2	0
6458	2965	0	0
6955	2965	1	0
6451	2965	3	0
6451	2472	2	0
6451	2973	2	0
6451	3463	0	0
6944	3463	1	0
6450	3463	1	0
5948	3463	2	0
5948	3961	3	0
5948	3478	4	0
5948	3478	1	0
5451	3478	4	0
5451	3478	1	0
4946	3478	1	0
4444	3478	4	0
4444	3478	1	0
3949	3478	3	-300
3949	2990	2	0
3949	3496	1	-300
3445	3496	0	0
3939	3496	0	-300
4439	3496	1	0
3933	3496	0	-300
4425	3496	2	0
4425	3995	0	0
4933	3995	2	0
4933	4488	1	0
4444	4488	2	0
4444	4987	3	0
4444	4496	1	0
3945	4496	2	0
3945	4998	1	0
3448	4998	1	0
2953	4998	2	0
2953	5504	3	0
2953	5005	2	0
2953	5508	2	0
2953	6004	2	0
2953	6498	3	0
2953	6004	3	0
2953	5513	0	0
3458	5513	2	0
3458	6017	1	0
2969	6017	3	0
2969	5516	0	0
3479	5516	2	0
3479	6011	0	0
3985	6011	0	0
4479	6011	0	-300
4967	6011	4	0
4967	6011	1	0
4458	6011	4	-300
4458	6011	4	-300
4458	6011	3	-300
4458	5514	0	0
4963	5514	0	0
5464	5514	2	0
5464	6014	3	0
5464	5513	1	0
4974	5513	2	0
4974	6014	3	0
4974	5527	3	0
4974	5026	2	0
4974	5541	3	0
4974	5038	1	0
4484	5038	4	0
4484	5038	0	0
4989	5038	4	0
4989	5038	0	0
5489	5038	2	0
5489	5537	4	0
5489	5537	2	0
5489	6026	3	0
5489	5534	4	0
5489	5534	0	0
5983	5534	2	0
5983	6033	0	0
6495	6033	4	0
6495	6033	2	0
6495	6532	3	0
6495	6024	4	0
6495	6024	4	0
6495	6024	1	0
5996	6024	2	0
5996	6520	2	300
5996	7021	2	0
5996	7517	4	0
5996	7517	1	0
5487	7517	0	0
5991	7517	1	0
5488	7517	1	0
4987	7517	0	0
5481	7517	3	0
5481	7014	3	0
5481	6519	4	0
5481	6519	3	0
5481	6025	1	0
4989	6025	2	0
4989	6520	3	0
4989	6034	2	0
4989	6525	1	0
4489	6525	3	0
4489	6027	1	-300
3995	6027	3	0
3995	5541	2	0
3995	6042	4	0
3995	6042	4	0
3995	6042	2	0
3995	6541	2	0
3995	7021	3	0
3995	6522	1	0
3502	6522	0	0
4005	6522	2	0
4005	7016	3	0
4005	6522	4	0
4005	6522	2	0
4005	7030	2	0
4005	7535	0	0
4517	7535	1	0
4017	7535	3	0
4017	7036	2	0
4017	7533	3	0
4017	7037	1	0
3508	7037	2	0
3508	7531	2	0
3508	8021	3	0
3508	7521	1	0
3002	7521	0	0
3507	7521	4	0
3507	7521	3	0
3507	7030	3	0
3507	6532	1	0
3005	6532	4	0
3005	6532	3	0
3005	6034	2	0
3005	6525	0	0
3495	6525	3	0
3495	6023	4	0
3495	6023	0	0
3997	6023	1	0
3497	6023	0	0
3991	6023	4	0
3991	6023	0	0
4485	6023	0	-300
4978	6023	0	0
5475	6023	2	0
5475	6514	3	0
5475	6010	3	0
5475	5521	2	0
5475	6024	1	0
4974	6024	2	0
4974	6533	1	0
4469	6533	2	0
4469	7020	4	0
4469	7020	3	0
4469	6511	4	0
4469	6511	1	0
3974	6511	0	0
4466	6511	0	0
4972	6511	2	0
4972	6999	0	0
5477	6999	4	0
5477	6999	1	0
4984	6999	1	0
4495	6999	0	0
4993	6999	1	0
4499	6999	1	0
3996	6999	2	0
3996	7497	4	0
3996	7497	1	0
3494	7497	3	0
3494	6996	3	0
3494	6497	3	0
3494	6000	0	0
3987	6000	0	0
4497	6000	3	0
4497	5509	1	0
3995	5509	4	0
3995	5509	1	0
3501	5509	3	0
3501	5014	4	0
3501	5014	0	0
3992	5014	0	0
4489	5014	3	0
4489	4507	1	0
3995	4507	4	0
3995	4507	1	0
3505	4507	0	0
4004	4507	4	0
4004	4507	1	0
3505	4507	1	0
3001	4507	1	0
2503	4507	4	0
2503	4507	0	0
3006	4507	2	0
3006	5000	3	0
3006	4497	3	0
3006	3997	0	0
3514	3997	3	0
3514	3512	1	0
3008	3512	4	0
3008	3512	0	0
3512	3512	0	0
3996	3512	1	0
3493	3512	4	0
3493	3512	3	0
3493	3007	0	0
3996	3007	2	-300
3996	3512	2	0
3996	4008	1	0
3495	4008	1	0
3002	4008	2	0
3002	4508	3	0
3002	4008	1	0
2502	4008	1	0
2003	4008	4	0
2003	4008	0	0
2489	4008	1	0
1990	4008	2	0
1990	4507	1	0
1496	4507	0	300
1994	4507	2	0
1994	5003	2	0
1994	5509	3	0
1994	5019	3	0
1994	4524	0	0
2488	4524	4	0
2488	4524	2	0
2488	5016	1	0
1990	5016	4	0
1990	5016	1	0
1493	5016	3	0
1493	4516	0	300
1991	4516	0	0
2489	4516	4	0
2489	4516	0	0
2985	4516	2	0
2985	5013	2	0
2985	5519	0	0
3481	5519	4	0
3481	5519	2	0
3481	6026	4	0
3481	6026	0	0
3968	6026	0	0
4466	6026	2	-300
4466	6527	3	0
4466	6031	0	-300
4965	6031	1	0
4475	6031	3	-300
4475	5536	4	0
4475	5536	4	0
4475	5536	0	0
4963	5536	2	0
4963	6028	0	0
5464	6028	4	0
5464	6028	3	0
5464	5537	0	0
5970	5537	3	0
5970	5031	1	0
5472	5031	1	0
4980	5031	0	0
5487	5031	0	0
5981	5031	4	0
5981	5031	1	0
5481	5031	2	0
5481	5527	2	0
5481	6028	2	0
5481	6527	1	0
4989	6527	1	0
4491	6527	2	0
4491	7035	2	0
4491	7535	3	0
4491	7032	3	0
4491	6552	4	0
4491	6552	0	0
4991	6552	4	0
4991	6552	1	0
4501	6552	1	0
3997	6552	4	0
3997	6552	3	0
3997	6062	1	0
3512	6062	0	0
3999	6062	1	0
3496	6062	2	0
3496	6554	2	0
3496	7039	0	0
3998	7039	3	0
3998	6533	2	0
3998	7027	3	0
3998	6516	0	0
4499	6516	2	0
4499	7018	4	0
4499	7018	2	0
4499	7507	3	0
4499	7009	2	0
4499	7501	4	0
4499	7501	4	0
4499	7501	1	0
3979	7501	0	0
4480	7501	3	0
4480	7012	0	0
4973	7012	4	0
4973	7012	4	0
4973	7012	0	0
5470	7012	2	0
5470	7494	3	0
5470	7008	4	0
5470	7008	0	0
5968	7008	4	0
5968	7008	1	0
5478	7008	2	0
5478	7511	2	0
5478	7994	3	0
5478	7487	3	0
5478	6991	0	0
5981	6991	4	300
5981	6991	0	300
6473	6991	0	0
6977	6991	0	0
7482	6991	1	0
6985	6991	1	0
6503	6991	4	0
6503	6991	1	0
6003	6991	3	0
6003	6499	0	0
6496	6499	1	0
6007	6499	2	0
6007	7002	4	-300
6007	7002	3	-300
6007	6493	3	0
6007	5998	1	0
5508	5998	2	0
5508	6496	3	0
5508	5994	4	0
5508	5994	1	0
5005	5994	2	0
5005	6501	4	0
5005	6501	0	0
5500	6501	4	0
5500	6501	4	0
5500	6501	0	0
5990	6501	1	300
5495	6501	3	0
5495	6000	2	0
5495	6493	2	0
5495	6986	1	0
4998	6986	0	0
5482	6986	4	0
5482	6986	4	0
5482	6986	0	0
5973	6986	0	300
6462	6986	2	0
6462	7485	3	-300
6462	6985	4	0
6462	6985	0	0
6957	6985	4	0
6957	6985	4	0
6957	6985	2	0
6957	7484	0	0
7463	7484	1	0
6964	7484	4	0
6964	7484	2	0
6964	7978	3	0
6964	7493	3	0
6964	6997	1	0
6476	6997	3	0
6476	6493	0	0
6969	6493	3	0
6969	5999	2	0
6969	6503	2	0
6969	6984	4	0
6969	6984	4	0
6969	6984	3	0
6969	6494	4	0
6969	6494	1	0
6475	6494	1	0
5972	6494	2	0
5972	6995	3	300
5972	6494	3	0
5972	5991	4	0
5972	5991	0	0
6475	5991	0	0
6982	5991	1	0
6486	5991	2	0
6486	6488	1	0
5986	6488	4	0
5986	6488	1	0
5488	6488	4	0
5488	6488	3	0
5488	5997	0	0
5991	5997	0	0
6488	5997	4	0
6488	5997	1	0
5980	5997	3	0
5980	5495	0	0
6469	5495	1	0
5974	5495	1	0
5473	5495	1	0
4975	5495	1	0
4488	5495	0	0
4987	5495	2	0
4987	5994	2	0
4987	6502	4	0
4987	6502	2	0
4987	7006	2	0
4987	7501	3	0
4987	6994	3	0
4987	6507	3	0
4987	6010	4	0
4987	6010	2	0
4987	6500	0	0
5493	6500	2	0
5493	6995	2	0
5493	7486	1	0
5003	7486	0	0
5497	7486	4	0
5497	7486	3	0
5497	6985	0	0
5994	6985	1	300
5504	6985	4	300
5504	6985	0	300
6006	6985	1	0
5511	6985	1	300
5024	6985	1	0
4523	6985	2	0
4523	7475	4	0
4523	7475	3	0
4523	6983	3	0
4523	6477	4	0
4523	6477	1	0
4037	6477	0	-300
4526	6477	2	0
4526	6974	1	0
4025	6974	0	0
4523	6974	0	0
5023	6974	2	0
5023	7480	2	0
5023	7975	1	0
4533	7975	2	0
4533	8476	2	0
4533	8975	2	0
4533	9474	2	0
4533	9973	0	0
5026	9973	3	0
5026	9487	4	0
5026	9487	0	0
5526	9487	4	0
5526	9487	0	0
6021	9487	4	0
6021	9487	1	0
5524	9487	0	0
6022	9487	0	0
6519	9487	4	0
6519	9487	4	0
6519	9487	3	0
6519	8998	3	0
6519	8513	1	0
6018	8513	2	0
6018	9009	0	0
6515	9009	1	0
6024	9009	3	0
6024	8514	3	0
6024	8011	1	0
5526	8011	3	0
5526	7518	0	0
6033	7518	4	0
6033	7518	3	0
6033	7034	3	-300
6033	6550	0	0
6516	6550	1	0
6012	6550	4	0
6012	6550	4	0
6012	6550	1	0
5513	6550	1	300
5014	6550	4	0
5014	6550	3	0
5014	6048	1	0
4524	6048	1	0
4032	6048	1	-300
3536	6048	3	0
3536	5555	0	0
4040	5555	0	0
4536	5555	4	0
4536	5555	2	0
4536	6043	0	0
5034	6043	0	0
5528	6043	3	0
5528	5540	1	0
5040	5540	2	0
5040	6047	1	0
4545	6047	1	0
4059	6047	4	-300
4059	6047	4	-300
4059	6047	1	-300
3565	6047	4	0
3565	6047	4	0
3565	6047	0	0
4054	6047	4	-300
4054	6047	2	-300
4054	6542	3	0
4054	6051	4	-300
4054	6051	1	-300
3552	6051	2	0
3552	6543	2	0
3552	7034	0	0
4042	7034	1	0
3539	7034	2	0
3539	7522	0	0
4031	7522	2	0
4031	8024	4	0
4031	8024	2	0
4031	8524	1	0
3537	8524	1	0
3044	8524	4	0
3044	8524	3	0
3044	8027	2	0
3044	8525	4	0
3044	8525	2	0
3044	9017	3	0
3044	8527	2	0
3044	9008	4	0
3044	9008	4	0
3044	9008	2	0
3044	9506	0	0
3541	9506	2	0
3541	9988	4	0
3541	9988	1	0
3037	9988	0	0
3520	9988	3	0
3520	9499	0	0
4023	9499	4	0
4023	9499	0	0
4523	9499	1	0
