x	y	a	r
S2	S0	0	-300
S3	S0	0	0
S4	S0	4	0
S4	S0	0	0
S5	S0	1	0
S4	S0	4	0
S4	S0	1	0
S3	S0	4	0
S3	S0	2	0
S3	S1	2	0
S3	S2	4	0
S3	S2	3	0
S3	S1	0	0
S4	S1	1	0
S3	S1	1	0
S2	S1	2	0
S2	S2	4	0
S2	S2	2	0
S2	S3	3	0
S2	S2	3	0
S2	S1	1	0
S1	S1	4	0
S1	S1	3	0
S1	S0	4	0
S1	S0	4	0
S1	S0	0	0
S2	S0	1	-300
S1	S0	0	0
S2	S0	2	-300
S2	S1	2	0
S2	S2	0	0
S3	S2	3	0
S3	S1	4	0
S3	S1	4	0
S3	S1	1	0
S2	S1	3	0
S2	S0	4	-300
S2	S0	0	-300
S3	S0	0	0
S4	S0	2	0
S4	S1	0	0
S5	S1	4	0
S5	S1	3	0
S5	S0	0	0
S6	S0	1	0
S5	S0	0	0
S6	S0	2	0
S6	S1	4	0
S6	S1	2	0
S6	S2	2	0
S6	S3	4	0
S6	S3	0	0
S7	S3	3	300
S7	S2	3	0
S7	S1	2	-300
S7	S2	4	0
S7	S2	0	0
S8	S2	0	0
S9	S2	3	0
S9	S1	2	0
S9	S2	3	0
S9	S1	0	0
S10	S1	2	0
S10	S2	1	-300
S9	S2	1	0
S8	S2	2	0
S8	S3	4	0
S8	S3	0	0
S9	S3	4	0
S9	S3	4	0
S9	S3	0	0
S10	S3	4	0
S10	S3	0	0
S11	S3	3	-300
S11	S2	3	0
S11	S1	0	0
S12	S1	4	0
S12	S1	4	0
S12	S1	4	0
S12	S1	0	0
S13	S1	1	0
S12	S1	1	0
S11	S1	3	0
S11	S0	4	0
S11	S0	4	0
S11	S0	1	0
S10	S0	4	0
S10	S0	2	0
S10	S1	4	0
S10	S1	0	0
S11	S1	2	0
S11	S2	4	0
S11	S2	1	0
S10	S2	0	-300
S11	S2	4	0
S11	S2	0	0
S12	S2	2	0
S12	S3	2	0
S12	S4	1	-300
S11	S4	4	0
S11	S4	0	0
S12	S4	0	-300
S13	S4	1	0
S12	S4	4	-300
S12	S4	4	-300
S12	S4	2	-300
S12	S5	3	-300
S12	S4	1	-300
S11	S4	3	0
S11	S3	1	-300
S10	S3	3	0
S10	S2	1	-300
S9	S2	1	0
S8	S2	3	0
S8	S1	3	0
S8	S0	0	0
S9	S0	1	300
S8	S0	2	0
S8	S1	4	0
S8	S1	0	0
S9	S1	0	0
S10	S1	3	0
S10	S0	1	0
S9	S0	2	300
S9	S1	4	0
