x	y	a	r
4991	3027	3	300
4991	2533	4	0
4991	2533	4	0
4991	2533	1	0
4489	2533	2	300
4489	3033	1	0
3990	3033	4	0
3990	3033	2	0
3990	3528	1	0
3493	3528	2	0
3493	4016	1	0
2995	4016	1	0
2501	4016	1	0
1994	4016	3	0
1994	3533	3	0
1994	3041	4	0
1994	3041	1	0
1503	3041	4	0
1503	3041	2	0
1503	3539	3	0
1503	3057	0	0
1995	3057	2	0
1995	3562	4	0
1995	3562	2	0
1995	4053	4	0
1995	4053	0	0
2486	4053	1	0
1990	4053	1	0
1479	4053	0	0
1973	4053	0	0
2466	4053	2	0
2466	4551	4	0
2466	4551	4	0
2466	4551	1	0
1962	4551	1	0
1461	4551	0	0
1960	4551	4	0
1960	4551	2	0
1960	5038	3	0
1960	4550	2	0
1960	5041	2	0
1960	5526	3	0
1960	5030	0	0
2463	5030	0	0
2949	5030	0	0
3455	5030	2	0
3455	5511	0	0
3957	5511	4	0
3957	5511	0	0
4445	5511	4	0
4445	5511	4	0
4445	5511	4	0
4445	5511	3	0
4445	5011	3	0
4445	4514	3	0
4445	4027	0	0
4947	4027	3	0
4947	3530	0	0
5438	3530	1	0
4938	3530	1	0
4447	3530	4	0
4447	3530	0	0
4943	3530	1	0
4452	3530	0	0
4951	3530	0	0
5443	3530	0	0
5940	3530	1	300
5434	3530	4	0
5434	3530	3	0
5434	3024	1	300
4947	3024	3	300
4947	2531	0	0
5453	2531	2	0
5453	3044	1	300
4953	3044	2	300
4953	3555	3	0
4953	3059	4	300
4953	3059	3	300
4953	2560	3	0
4953	2059	4	0
4953	2059	0	0
5451	2059	0	0
5941	2059	3	0
5941	1559	4	0
5941	1559	4	0
5941	1559	3	0
5941	1051	1	0
5448	1051	3	0
5448	538	1	0
4932	538	0	0
5437	538	3	0
5437	36	2	0
5437	535	3	0
5437	37	2	0
5437	535	1	0
4945	535	2	0
4945	1036	0	0
5443	1036	0	0
5939	1036	0	0
6438	1036	1	0
5943	1036	4	0
5943	1036	1	0
5457	1036	3	0
5457	530	3	0
5457	51	4	0
5457	51	2	0
5457	549	4	0
5457	549	2	0
5457	1037	4	0
5457	1037	3	0
5457	551	1	0
4959	551	0	0
5461	551	1	0
4971	551	0	0
5472	551	1	0
4984	551	2	0
4984	1051	2	0
4984	1536	3	0
4984	1042	4	0
4984	1042	2	0
4984	1529	2	0
4984	2032	1	0
4487	2032	4	0
4487	2032	3	0
4487	1546	4	0
4487	1546	1	0
3984	1546	0	0
4473	1546	1	0
3975	1546	3	0
3975	1052	1	0
3477	1052	1	0
2980	1052	2	0
2980	1556	2	300
2980	2048	2	0
2980	2547	4	0
2980	2547	4	0
2980	2547	1	0
2479	2547	0	0
2986	2547	2	0
2986	3039	1	0
2491	3039	0	0
2973	3039	4	0
2973	3039	4	0
2973	3039	1	0
2485	3039	4	0
2485	3039	3	0
2485	2541	0	0
2978	2541	4	0
2978	2541	4	0
2978	2541	0	0
3483	2541	1	0
2967	2541	1	0
2477	2541	1	0
1995	2541	3	0
1995	2038	1	0
1490	2038	0	0
1984	2038	3	0
1984	1539	0	0
2473	1539	0	0
2978	1539	4	300
2978	1539	4	300
2978	1539	4	300
2978	1539	1	300
2475	1539	0	0
2970	1539	4	300
2970	1539	2	300
2970	2021	2	0
2970	2523	1	0
2477	2523	3	0
2477	2021	2	0
2477	2509	0	0
2974	2509	1	0
2472	2509	4	0
2472	2509	4	0
2472	2509	1	0
1974	2509	3	0
1974	1997	3	0
1974	1499	0	300
2465	1499	2	300
2465	1993	2	0
2465	2476	4	0
2465	2476	2	0
2465	2967	3	0
2465	2469	4	0
2465	2469	2	0
2465	2972	1	0
1971	2972	2	0
1971	3468	1	0
1463	3468	3	0
1463	2969	1	0
976	2969	4	0
976	2969	4	0
976	2969	4	0
976	2969	1	0
475	2969	4	0
475	2969	2	0
475	3464	0	0
967	3464	1	0
481	3464	3	0
481	2969	4	0
481	2969	0	0
970	2969	3	0
970	2465	3	0
970	1971	3	0
970	1477	4	0
970	1477	0	0
1473	1477	4	0
1473	1477	2	0
1473	1970	0	0
1956	1970	1	0
1463	1970	1	0
965	1970	4	0
965	1970	2	0
965	2462	4	0
965	2462	1	0
475	2462	0	0
967	2462	2	0
967	2971	4	0
967	2971	1	0
469	2971	4	0
469	2971	0	0
962	2971	3	0
962	2458	0	0
1461	2458	2	0
1461	2943	0	0
1955	2943	0	0
2454	2943	0	0
2944	2943	0	0
3447	2943	1	0
2947	2943	4	0
2947	2943	4	0
2947	2943	2	0
2947	3446	1	0
2455	3446	0	0
2943	3446	1	0
2465	3446	3	0
2465	2964	4	0
2465	2964	4	0
2465	2964	2	0
2465	3463	1	0
1970	3463	4	0
1970	3463	2	0
1970	3958	3	0
1970	3465	3	0
1970	2966	0	0
2470	2966	0	0
2969	2966	1	0
2473	2966	4	0
2473	2966	4	0
2473	2966	0	0
2974	2966	4	0
2974	2966	1	0
2479	2966	1	0
1981	2966	4	0
1981	2966	3	0
1981	2478	4	0
1981	2478	2	0
1981	2966	4	0
1981	2966	4	0
1981	2966	3	0
1981	2469	4	0
1981	2469	3	0
1981	1976	3	0
1981	1492	0	300
2482	1492	4	300
2482	1492	1	300
1986	1492	3	300
1986	998	3	0
1986	498	4	0
1986	498	1	0
1492	498	1	0
991	498	0	0
1482	498	2	0
1482	1002	2	0
1482	1492	0	0
1978	1492	3	300
1978	999	3	0
1978	505	4	0
1978	505	1	0
1481	505	4	300
1481	505	2	300
1481	1007	2	0
1481	1507	2	0
1481	1999	3	0
1481	1501	3	0
1481	1006	4	0
1481	1006	2	0
1481	1507	2	0
1481	1998	2	0
1481	2501	2	0
1481	2993	3	0
1481	2487	0	0
1980	2487	2	0
1980	2978	3	0
1980	2488	3	0
1980	1993	1	0
1476	1993	0	0
1974	1993	3	0
1974	1477	1	300
1468	1477	0	0
1972	1477	4	300
1972	1477	3	300
1972	983	4	0
1972	983	0	0
2472	983	0	0
2978	983	2	0
2978	1476	0	0
3472	1476	4	0
3472	1476	1	0
2964	1476	4	0
2964	1476	0	0
3456	1476	2	0
3456	1974	0	300
3952	1974	3	0
3952	1482	0	0
4440	1482	0	0
4941	1482	3	0
4941	986	2	0
4941	1479	1	0
4447	1479	3	0
4447	1002	0	0
4943	1002	2	0
4943	1492	2	0
4943	1996	0	0
5442	1996	4	0
5442	1996	2	0
5442	2504	1	0
4945	2504	0	0
5445	2504	0	0
5932	2504	1	0
5440	2504	0	0
5940	2504	1	0
5444	2504	4	0
5444	2504	0	0
5959	2504	3	0
5959	2004	2	0
5959	2496	1	0
5480	2496	1	0
4985	2496	2	0
4985	2997	2	0
4985	3491	4	300
4985	3491	3	300
4985	3006	1	300
4499	3006	2	0
4499	3504	3	0
4499	3007	2	0
4499	3493	0	0
5003	3493	2	300
5003	3993	3	0
5003	3492	3	300
5003	3005	3	300
5003	2513	2	0
5003	3002	3	300
5003	2515	3	0
5003	2011	1	0
4501	2011	0	0
5006	2011	4	0
5006	2011	1	0
4508	2011	1	0
4017	2011	3	0
4017	1514	3	0
4017	1013	2	0
4017	1518	3	0
4017	1017	1	0
3529	1017	3	0
3529	513	2	0
3529	1018	1	0
3037	1018	4	0
3037	1018	0	0
3533	1018	0	0
4036	1018	2	0
4036	1498	3	0
4036	987	2	0
4036	1484	2	0
4036	1981	1	0
3551	1981	2	0
3551	2475	0	300
4058	2475	2	0
4058	2975	1	300
3571	2975	2	0
3571	3467	2	0
3571	3958	3	0
3571	3461	1	0
3076	3461	1	0
2575	3461	4	0
2575	3461	2	0
2575	3951	4	0
2575	3951	4	0
2575	3951	4	0
2575	3951	3	0
2575	3465	3	0
2575	2974	2	0
2575	3480	1	0
2083	3480	1	0
1579	3480	2	0
1579	3978	4	0
1579	3978	2	0
1579	4468	3	0
1579	3986	2	0
1579	4474	2	0
1579	4963	1	0
1084	4963	2	0
1084	5456	3	0
1084	4943	3	0
1084	4439	0	0
1580	4439	1	0
1078	4439	2	0
1078	4938	3	0
1078	4449	2	0
1078	4936	4	0
1078	4936	1	0
580	4936	3	0
580	4431	3	0
580	3935	2	0
580	4420	3	0
580	3930	2	0
580	4434	0	0
1072	4434	4	0
1072	4434	1	0
586	4434	0	0
1077	4434	2	0
1077	4939	3	0
1077	4435	0	0
1577	4435	4	0
1577	4435	0	0
2079	4435	2	0
2079	4927	2	0
2079	5434	1	0
1579	5434	4	0
1579	5434	4	0
1579	5434	0	0
2073	5434	2	0
2073	5938	0	0
2557	5938	4	0
2557	5938	0	0
3066	5938	0	0
3554	5938	1	0
3063	5938	1	0
2576	5938	2	0
2576	6428	1	0
2083	6428	3	0
2083	5930	2	0
2083	6419	0	0
2570	6419	3	0
2570	5916	4	0
2570	5916	0	0
3066	5916	1	0
2563	5916	1	0
2057	5916	0	0
2547	5916	4	0
2547	5916	2	0
2547	6409	4	0
2547	6409	0	0
3062	6409	3	0
3062	5902	1	0
2559	5902	0	0
3058	5902	2	0
3058	6399	0	0
3549	6399	4	0
3549	6399	2	0
3549	6905	4	0
3549	6905	1	0
3055	6905	1	0
2561	6905	0	0
3052	6905	3	0
3052	6413	2	0
3052	6907	4	0
3052	6907	2	0
3052	7402	0	0
3563	7402	3	0
3563	6901	0	0
4056	6901	2	0
4056	7401	4	0
4056	7401	3	0
4056	6904	0	0
4555	6904	3	0
4555	6419	4	0
4555	6419	1	0
4065	6419	3	0
4065	5917	3	0
4065	5418	2	0
4065	5909	0	0
4565	5909	2	0
4565	6400	2	0
4565	6897	3	0
4565	6402	0	0
5064	6402	0	0
5565	6402	4	0
5565	6402	1	0
5075	6402	4	0
5075	6402	0	0
5571	6402	1	0
5077	6402	0	0
5571	6402	4	0
5571	6402	4	0
5571	6402	1	0
5065	6402	4	0
5065	6402	4	0
5065	6402	2	0
5065	6907	2	0
5065	7415	2	0
5065	7913	3	0
5065	7412	2	0
5065	7911	1	0
4568	7911	1	0
4067	7911	0	0
4569	7911	3	0
