@relation dTreeCont

@attribute x real
@attribute y real
@attribute r {0, 300}

@data
9931,1487,0
9931,981,0
9931,981,0
9434,981,0
9434,981,0
9934,981,0
9429,981,0
9916,981,0
9916,1484,0
9916,1484,0
9916,1484,0
9916,1978,0
9916,1978,0
9916,1978,0
9916,2482,0
9916,2482,0
9410,2482,0
8922,2482,0
8922,2482,0
8922,2974,0
8437,2974,0
8437,2485,0
7934,2485,0
7442,2485,0
6941,2485,0
7436,2485,0
6941,2485,0
6941,2485,0
6941,1990,0
6941,1498,0
6941,1995,0
6446,1995,0
6446,1995,0
6946,1995,0
6946,1995,0
7444,1995,0
7444,1995,0
7444,2495,0
7444,2495,0
7944,2495,0
7445,2495,0
7445,1991,0
7445,2483,0
7445,2975,0
6947,2975,0
6947,2482,0
6440,2482,0
6926,2482,0
6926,2482,0
6428,2482,0
6428,2976,0
6923,2976,0
6413,2976,0
6910,2976,0
6910,3470,0
7409,3470,0
7409,3470,0
7409,3470,0
7409,3470,0
6918,3470,0
7418,3470,0
7418,2959,0
6909,2959,0
6909,2460,0
6409,2460,0
6409,1957,0
6409,1957,0
6409,2440,0
6913,2440,0
6913,2440,0
7404,2440,0
7404,2440,0
7404,2929,0
7902,2929,0
7395,2929,0
7395,2929,0
7395,3431,0
6895,3431,0
6895,3431,0
6895,2943,0
6401,2943,0
6401,2943,0
6898,2943,0
6898,2441,0
6898,1953,0
6898,2453,0
7394,2453,0
7394,1954,0
7900,1954,0
8389,1954,0
8389,1460,0
8389,1953,0
8888,1953,0
8393,1953,0
8887,1953,0
8378,1953,0
8378,1456,0
7878,1456,0
7878,1456,0
7878,1950,0
8370,1950,0
8370,2441,0
8370,1953,0
8370,1953,0
8370,1448,0
8370,1448,0
8370,941,0
8370,941,0
8370,941,0
8868,941,0
8868,438,0
8868,438,0
8372,438,0
8372,939,0
8372,939,0
8372,443,0
8372,443,0
8372,443,0
7867,443,0
7361,443,0
6866,443,0
7364,443,0
7364,944,0
7364,944,0
7364,1442,0
7364,1946,0
7364,1946,0
7364,2440,0
6864,2440,0
6864,2943,0
6864,2943,0
6864,2943,0
6864,2943,0
6864,2943,0
6864,3434,0
7355,3434,0
6851,3434,0
7356,3434,0
7356,3434,0
6848,3434,0
6848,3923,0
6848,3442,0
7342,3442,0
7342,3442,0
7342,2949,0
7828,2949,0
7828,2447,0
7828,1959,0
7828,1959,0
7828,1460,0
7828,945,0
7828,945,0
7828,436,0
7327,436,0
7327,940,0
6824,940,0
6824,451,0
6824,956,0
7330,956,0
7839,956,0
7839,462,0
7839,462,0
8351,462,0
7855,462,0
7855,462,0
7855,462,0
7855,462,0
7855,962,0
8367,962,0
8367,472,0
8883,472,0
8883,472,0
8391,472,0
8883,472,0
9382,472,0
8884,472,0
8884,472,0
9382,472,0
9382,972,0
9382,478,0
9382,966,0
9382,966,0
9382,468,0
9382,468,0
9382,967,0
9382,967,0
9882,967,0
9882,967,0
9882,1465,0
9882,965,0
9882,1468,0
9373,1468,0
9373,1968,0
8862,1968,0
8862,2462,0
8363,2462,0
8363,2964,0
7869,2964,0
7377,2964,0
6875,2964,0
6875,2469,0
6875,2957,0
6875,3465,0
7360,3465,0
6863,3465,0
7350,3465,0
7350,3465,0
6849,3465,0
6349,3465,0
6349,2965,0
6851,2965,0
6851,3468,0
6851,2961,0
6851,2961,0
6349,2961,0
5839,2961,0
5839,3451,0
6336,3451,0
6336,3451,0
6336,3947,0
6336,4435,300
6838,4435,0
6838,3934,0
6838,3442,0
7334,3442,0
7830,3442,0
8320,3442,0
8320,3442,0
8820,3442,0
8325,3442,0
8325,2939,0
8817,2939,0
8817,2939,0
8817,2455,0
8817,1951,0
8817,1951,0
8324,1951,0
7834,1951,0
7834,1951,0
7336,1951,0
6829,1951,0
6829,1460,0
6325,1460,0
6325,1956,0
6325,1462,0
5817,1462,0
5817,971,0
5817,971,0
5817,971,0
5817,971,0
5817,971,0
5817,467,0
5817,467,0
5817,958,0
5817,958,0
6314,958,0
5800,958,0
5800,958,0
5297,958,0
5297,958,0
5297,1458,0
5787,1458,0
5787,1458,0
5294,1458,0
5794,1458,0
5794,970,0
5284,970,0
5284,1468,0
5284,968,0
5284,465,0
5284,963,0
5284,1459,0
5284,1947,0
5284,1947,0
4786,1947,0
4786,2432,0
4300,2432,0
3816,2432,300
3816,2432,300
3816,1921,0
3314,1921,300
3314,1921,300
3314,2419,0
3314,2419,0
2806,2419,0
2310,2419,0
2310,2419,0
2310,2913,0
1811,2913,0
1811,2404,0
1313,2404,0
1811,2404,0
1811,2889,0
2316,2889,0
1826,2889,0
1318,2889,0
1318,2889,0
1318,3387,0
1318,3895,0
1318,3895,0
1817,3895,0
2308,3895,0
1822,3895,0
1822,4388,0
1822,4882,0
2322,4882,0
2322,4882,0
2322,4882,0
2322,4882,0
2322,5395,0
2322,5395,0
2820,5395,0
2820,4899,0
3315,4899,0
3315,4401,0
3315,3906,0
3315,3410,0
3315,2913,0
3315,2423,0
3315,1929,300
2821,1929,300
2325,1929,0
2830,1929,300
2320,1929,0
2808,1929,300
2808,1929,300
2808,1929,300
2317,1929,0
2317,1435,300
2810,1435,0
2810,1930,300
2810,1930,300
