Q	a	r
q17	1	0
q17	0	0
q17	3	0
q13	4	0
q13	3	0
q13	4	0
q13	1	0
q13	4	0
q13	4	0
q13	0	0
q13	3	0
q13	3	0
q13	0	0
q13	1	0
q13	1	0
q13	4	0
q13	4	0
q13	1	0
q13	4	0
q13	4	0
q13	4	0
q13	4	0
q13	4	0
q13	4	0
q13	0	0
q13	2	0
q13	3	0
q13	2	0
q13	0	0
q13	0	0
q13	2	0
q13	3	0
q13	0	0
q13	0	0
q13	4	0
q13	3	0
q13	2	0
q13	4	0
q13	3	0
q13	4	0
q13	2	0
q13	1	0
q13	2	0
q13	3	0
q13	2	0
q13	3	0
q13	3	0
q13	2	0
q13	1	0
q13	0	0
q13	1	0
q13	0	0
q13	4	0
q13	2	0
q13	2	0
q13	4	0
q13	3	0
q13	3	0
q13	4	0
q13	2	0
q13	2	0
q13	3	0
q13	1	0
q13	2	0
q13	0	0
q13	0	0
q13	1	0
q13	0	0
q13	2	0
q38	0	0
q38	1	0
q38	1	0
q17	3	0
q13	2	0
q17	3	0
q13	4	0
q13	3	0
q13	4	0
q13	1	0
q13	0	0
q13	0	0
q13	4	0
q13	4	0
q13	1	0
q13	3	0
q13	1	0
q13	2	0
q13	4	0
q13	4	0
q13	1	0
q13	2	0
q13	1	0
q13	4	0
q13	3	0
q13	1	0
q13	4	0
q13	2	0
q13	4	0
q13	3	0
q13	4	0
q13	1	0
q13	3	0
q13	2	0
q13	2	0
q13	1	0
q13	4	0
q13	1	0
q13	0	0
q13	1	0
q13	3	0
q13	0	0
q13	2	0
q13	4	0
q13	3	0
q13	1	0
q13	0	0
q13	2	0
q13	2	0
q17	4	0
q17	3	0
q13	3	0
q13	0	0
q13	4	0
q13	3	0
q13	2	0
q13	3	0
q13	4	0
q13	1	0
q13	2	0
q13	1	0
q13	0	0
q13	0	0
q13	1	0
q13	2	0
q13	1	0
q13	2	0
q17	0	0
q17	1	0
q17	4	0
q17	2	0
q22	0	0
q25	0	0
q30	4	0
q30	3	0
q17	1	0
q17	2	0
q25	0	0
q30	3	0
q17	4	0
q17	1	0
q17	4	0
q17	1	0
q17	2	0
q22	0	0
q25	2	0
q25	0	0
q30	1	0
q25	4	0
q25	1	0
q24	1	300
q23	1	0
q16	1	0
q16	0	0
q16	0	0
q23	4	0
q23	3	0
q20	1	300
q19	3	0
q17	2	300
q19	1	0
q16	0	0
q19	2	0
q19	3	0
q19	0	0
q22	2	0
q24	0	300
q25	4	0
q25	1	0
q23	2	0
q27	2	0
q33	1	0
q33	2	0
q33	3	0
q33	1	0
q16	3	0
q16	3	0
q16	0	0
q16	1	0
q16	4	0
q16	3	0
q16	2	0
q16	2	0
q16	2	0
q16	1	0
q16	4	0
q16	3	0
q16	0	0
q16	4	0
q16	1	0
q16	1	0
q16	4	0
q16	1	0
q16	1	0
q16	3	0
q16	2	0
q16	0	0
q16	1	0
q16	0	0
q16	1	0
q16	0	0
q16	1	0
q16	1	0
q16	0	0
q16	3	0
q16	2	0
q16	4	0
q16	1	0
q16	4	0
q16	1	0
q16	0	0
q16	1	0
q16	2	0
q16	2	0
q16	4	0
q16	3	0
q16	0	0
q16	0	0
q16	3	0
q16	3	0
q16	0	0
q16	2	0
q16	1	0
q16	1	0
q16	4	0
q16	4	0
q16	3	0
q16	2	0
q16	3	0
q16	0	0
q16	3	0
q16	2	0
q16	3	0
q16	2	0
q16	3	0
q16	1	0
q16	3	0
q14	2	0
q16	4	0
q16	0	0
q16	1	0
q16	2	0
q16	0	0
q16	2	0
q16	3	0
q16	1	0
q16	4	0
q16	4	0
q16	2	0
q16	2	0
q16	0	0
q16	2	0
q16	1	0
q16	0	0
q16	4	0
q16	0	0
q16	3	0
q16	1	0
q16	4	0
q16	2	0
q16	2	0
q16	1	0
q16	4	0
q16	1	0
q16	3	0
q16	3	0
q16	0	0
q16	4	0
q16	0	0
q16	2	0
q16	0	0
q16	1	0
q16	0	0
q16	3	0
q16	0	0
q16	1	0
q16	3	0
q16	4	0
q16	2	0
q16	2	0
q16	2	0
q16	3	0
q16	1	0
q16	2	0
q16	0	0
q16	2	0
q16	4	0
q16	2	0
q16	2	0
q16	4	0
q16	2	0
q16	1	0
q16	1	0
q16	2	0
q16	3	0
q16	0	0
q16	1	0
q16	2	0
q16	0	0
q16	3	0
q16	1	0
q16	0	0
q16	0	0
q16	2	0
q16	3	0
q16	4	0
q16	4	0
q16	3	0
q16	1	0
q16	2	0
q16	2	0
q16	3	0
q16	1	0
q16	2	0
q16	4	0
q16	3	0
q16	1	0
q16	3	0
q16	0	0
q16	3	0
q16	1	0
q16	4	0
q16	3	0
q16	4	0
q16	2	0
q16	2	0
q16	4	0
q16	3	0
q16	2	0
q16	4	0
q16	0	0
q16	1	0
q16	0	0
q16	0	0
q16	4	0
q16	0	0
q16	3	0
q16	2	0
q16	2	0
q16	4	0
q16	1	0
q16	1	0
q16	3	0
q16	2	0
q16	4	0
q16	3	0
q16	3	0
q16	3	0
q16	4	0
q16	1	0
q16	4	0
q16	3	0
q16	2	0
q16	0	0
q16	1	0
q16	2	0
q16	3	0
q16	4	0
q16	0	0
q16	4	0
q16	0	0
q16	1	0
q16	3	0
q16	0	0
q16	4	0
q16	3	0
q16	3	0
q16	1	0
q16	4	0
q16	3	0
q16	1	0
q16	4	0
q16	0	0
q16	4	0
q16	2	0
q16	4	0
q16	2	0
q16	0	0
q16	3	0
q16	4	0
q16	4	0
q16	0	0
q16	4	0
q16	3	0
q16	3	0
q16	3	0
q16	1	0
q16	1	0
q16	4	0
q16	0	0
q16	4	0
q16	2	0
q16	1	0
q16	4	0
q16	2	0
q16	0	0
q16	2	0
q16	0	0
q16	4	0
q16	3	0
q16	4	0
q16	0	0
q16	4	0
q16	4	0
q16	4	0
q16	0	0
q16	4	0
q16	0	0
q16	1	0
q16	0	0
q16	3	0
q16	4	0
q16	2	0
q16	1	0
q16	1	0
q16	0	0
q16	3	0
q16	1	0
q16	0	0
q16	0	0
q16	2	0
q16	0	0
q19	0	0
q27	1	0
q19	2	0
q33	0	0
q33	4	0
q33	1	0
q33	3	0
q19	1	0
q16	2	0
q16	3	0
q16	3	0
q16	3	0
q16	4	0
q16	4	0
q16	0	0
q18	2	300
q19	4	0
q19	0	0
q24	1	300
q19	0	0
q24	3	300
q22	0	0
q25	1	0
q22	4	0
q22	0	0
q25	1	0
q22	1	0
q18	3	300
q17	3	0
q13	4	0
q13	3	0
q13	4	0
q13	3	0
q13	4	0
q13	4	0
q13	0	0
q13	1	0
q13	4	0
q13	0	0
q13	1	0
q13	2	0
q13	1	0
q8	1	0
q8	3	0
q8	0	0
q8	4	0
q8	0	0
q13	2	0
q13	1	0
q8	3	0
q8	1	0
q8	1	0
q2	2	0
q4	3	0
q2	1	0
q2	0	0
q2	1	0
q2	2	0
q4	2	0
q6	1	300
q5	1	0
q1	4	0
q1	4	0
q1	4	0
q1	4	0
q1	0	0
q5	3	0
q3	4	300
q3	0	300
q4	2	0
q6	4	300
q6	3	300
q4	3	0
q2	4	0
q2	1	0
q2	4	0
q2	2	0
q3	1	300
q1	2	300
q1	4	0
q1	0	0
q5	0	0
q6	1	300
q5	2	0
q14	1	0
